#         t          x          y          z         vx         vy         vz
      0.000    -28.430    173.920     93.230    -98.600   -119.990   -127.780
      0.100    -38.157    161.254     80.105    -95.949   -133.333   -134.717
      0.200    -47.540    147.158     66.269    -91.712   -148.583   -142.003
      0.300    -56.385    131.423     51.694    -85.170   -166.118   -149.491
      0.400    -64.404    113.802     36.378    -75.226   -186.306   -156.829
      0.500    -71.177     94.021     20.375    -60.220   -209.308   -163.236
      0.600    -76.079     71.829      3.858    -37.821   -234.535   -167.110
      0.700    -78.249     47.133    -12.747     -5.591   -259.380   -164.978
      0.800    -76.712     20.283    -28.665     36.332   -277.618   -153.394
      0.900    -70.823     -7.672    -42.889     81.460   -281.476   -131.073
      1.000    -60.797    -35.207    -54.584    119.052   -269.229   -102.844
      1.100    -47.658    -61.035    -63.510    143.734   -247.327    -75.677
      1.200    -32.610    -84.545    -69.947    157.216   -222.875    -53.060
      1.300    -16.588   -105.669    -74.364    163.231   -199.621    -35.281
      1.400     -0.189   -124.591    -77.202    164.747   -178.807    -21.485
      1.500     16.230   -141.559    -78.813    163.647   -160.555    -10.716
      1.600     32.465   -156.817    -79.459    161.044   -144.605     -2.204
      1.700     48.397   -170.578    -79.338    157.589   -130.616      4.621
      1.800     63.959   -183.022    -78.598    153.665   -118.266     10.169
      1.900     79.118   -194.300    -77.353    149.499   -107.281     14.735
      2.000     93.854   -204.536    -75.689    145.230    -97.438     18.534
      2.100    108.162   -213.835    -73.676    140.940    -88.553     21.725
      2.200    122.043   -222.287    -71.369    136.678    -80.479     24.425
      2.300    135.501   -229.966    -68.811    132.475    -73.098     26.727
      2.400    148.542   -236.936    -66.040    128.347    -66.312     28.699
      2.500    161.175   -243.254    -63.085    124.302    -60.040     30.396
      2.600    173.407   -248.967    -59.973    120.343    -54.217     31.861
      2.700    185.248   -254.117    -56.723    116.472    -48.787     33.129
      2.800    196.706   -258.741    -53.355    112.687    -43.704     34.228
      2.900    207.789   -262.873    -49.885    108.983    -38.929     35.180
      3.000    218.506   -266.541    -46.326    105.358    -34.427     36.005
      3.100    228.864   -269.771    -42.690    101.807    -30.170     36.718
      3.200    238.871   -272.586    -38.987     98.326    -26.134     37.331
      3.300    248.533   -275.007    -35.228     94.911    -22.296     37.857
      3.400    257.856   -277.054    -31.420     91.556    -18.639     38.303
      3.500    266.847   -278.743    -27.571     88.258    -15.145     38.679
      3.600    275.510   -280.091    -23.687     85.012    -11.801     38.990
      3.700    283.852   -281.110    -19.775     81.815     -8.593     39.243
      3.800    291.876   -281.815    -15.841     78.663     -5.511     39.442
      3.900    299.586   -282.218    -11.890     75.551     -2.544     39.592
      4.000    306.988   -282.330     -7.925     72.477      0.317     39.696
      4.100    314.084   -282.160     -3.952     69.437      3.080     39.758
      4.200    320.877   -281.718      0.024     66.428      5.753     39.779
      4.300    327.370   -281.013      4.001     63.446      8.341     39.758
      4.400    333.567   -280.054      7.974     60.490     10.851     39.701
      4.500    339.470   -278.847     11.940     57.555     13.288     39.611
      4.600    345.079   -277.400     15.895     54.639     15.657     39.489
      4.700    350.398   -275.719     19.836     51.740     17.963     39.337
      4.800    355.428   -273.810     23.761     48.855     20.209     39.156
      4.900    360.170   -271.680     27.666     45.980     22.400     38.947
      5.000    364.624   -269.333     31.549     43.115     24.539     38.710
      5.100    368.793   -266.774     35.407     40.255     26.630     38.446
      5.200    372.676   -264.009     39.237     37.399     28.674     38.155
      5.300    376.273   -261.041     43.036     34.545     30.675     37.839
      5.400    379.585   -257.876     46.803     31.689     32.636     37.497
      5.500    382.610   -254.516     50.534     28.829     34.558     37.129
      5.600    385.350   -250.966     54.228     25.963     36.445     36.735
      5.700    387.803   -247.229     57.880     23.089     38.297     36.316
      5.800    389.967   -243.308     61.489     20.203     40.117     35.870
      5.900    391.842   -239.207     65.053     17.304     41.906     35.398
      6.000    393.427   -234.928     68.568     14.388     43.667     34.899
      6.100    394.719   -230.475     72.031     11.453     45.400     34.373
      6.200    395.717   -225.850     75.441      8.497     47.107     33.819
      6.300    396.417   -221.055     78.794      5.516     48.788     33.236
      6.400    396.818   -216.093     82.087      2.507     50.447     32.623
      6.500    396.917   -210.967     85.317     -0.533     52.082     31.979
      6.600    396.710   -205.678     88.481     -3.606     53.696     31.303
      6.700    396.194   -200.229     91.576     -6.717     55.288     30.594
      6.800    395.364   -194.621     94.598     -9.869     56.861     29.849
      6.900    394.218   -188.858     97.544    -13.066     58.413     29.068
      7.000    392.749   -182.940    100.409    -16.312     59.947     28.249
      7.100    390.953   -176.869    103.191    -19.611     61.461     27.389
      7.200    388.824   -170.648    105.885    -22.968     62.957     26.486
      7.300    386.356   -164.279    108.486    -26.388     64.435     25.537
      7.400    383.543   -157.762    110.990    -29.876     65.894     24.539
      7.500    380.377   -151.101    113.391    -33.438     67.334     23.489
      7.600    376.851   -144.296    115.685    -37.080     68.755     22.384
      7.700    372.957   -137.351    117.865    -40.809     70.156     21.219
      7.800    368.684   -130.266    119.925    -44.633     71.535     19.989
      7.900    364.025   -123.045    121.859    -48.560     72.893     18.689
      8.000    358.967   -115.689    123.659    -52.598     74.226     17.314
      8.100    353.499   -108.201    125.318    -56.758     75.534     15.855
      8.200    347.609   -100.584    126.826    -61.051     76.812     14.307
      8.300    341.282    -92.840    128.174    -65.488     78.058     12.660
      8.400    334.503    -84.974    129.353    -70.084     79.267     10.903
      8.500    327.256    -76.989    130.349    -74.854     80.435      9.026
      8.600    319.523    -68.889    131.151    -79.814     81.553      7.014
      8.700    311.283    -60.681    131.744    -84.985     82.616      4.853
      8.800    302.514    -52.370    132.113    -90.389     83.611      2.523
      8.900    293.192    -43.963    132.239    -96.050     84.526      0.004
      9.000    283.290    -35.469    132.103   -101.997     85.346     -2.731
      9.100    272.777    -26.899    131.681   -108.263     86.048     -5.713
      9.200    261.620    -18.267    130.946   -114.885     86.608     -8.977
      9.300    249.780     -9.587    129.869   -121.909     86.991    -12.570
      9.400    237.215     -0.880    128.413   -129.383     87.151    -16.547
      9.500    223.878      7.830    126.537   -137.368     87.031    -20.976
      9.600    209.713     16.509    124.191   -145.930     86.550    -25.944
      9.700    194.659     25.116    121.316   -155.147     85.602    -31.559
      9.800    178.646     33.598    117.840   -165.104     84.036    -37.962
      9.900    161.596     41.882    113.675   -175.895     81.642    -45.332
     10.000    143.421     49.870    108.713   -187.607     78.119    -53.907
     10.100    124.026     57.427    102.818   -200.304     73.024    -63.994
     10.200    103.312     64.363     95.819   -213.970     65.703    -75.993
     10.300     81.194     70.407     87.499   -228.388     55.172    -90.398
     10.400     57.631     75.165     77.592   -242.879     39.977   -107.744
     10.500     32.699     78.070     65.787   -255.764     18.119   -128.360
     10.600      6.736     78.349     51.787   -263.491    -12.530   -151.641
     10.700    -19.449     75.110     35.476   -260.201    -52.239   -174.570
     10.800    -44.497     67.716     17.197   -240.762    -95.657   -191.019
     10.900    -66.922     56.312     -2.150   -207.740   -132.417   -195.913
     11.000    -85.853     41.886    -21.440   -170.888   -156.104   -189.889
     11.100   -101.272     25.672    -39.870   -137.475   -168.167   -178.717
     11.200   -113.628      8.634    -57.107   -109.650   -172.609   -166.011
     11.300   -123.464     -8.627    -73.083    -87.083   -172.609   -153.517
     11.400   -131.258    -25.765    -87.853    -68.797   -170.140   -141.890
     11.500   -137.390    -42.589   -101.513    -53.844   -166.336   -131.297
     11.600   -142.156    -58.997   -114.163    -41.465   -161.837   -121.705
     11.700   -145.783    -74.940   -125.899    -31.084   -157.009   -113.018
     11.800   -148.451    -90.393   -136.806    -22.273   -152.058   -105.124
     11.900   -150.300   -105.351   -146.958    -14.710   -147.103    -97.919
     12.000   -151.444   -119.817   -156.420     -8.155   -142.211    -91.310
     12.100   -151.973   -133.798   -165.246     -2.422   -137.419    -85.216
